radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
256.165722,0.096,30.202106,0.063,14.055,0.018,2,14.577,0.011,2,NA,NA,0,14.24,0.014,2,13.944,0.043,2,13.79,0.086,2,NA,NA,0,NA,NA,0
256.166635,0.266,30.220917,0.203,16.708,0.096,1,17.785,0.172,1,NA,NA,0,17.39,0.064,2,16.254,0.067,2,15.63,0.097,2,NA,NA,0,NA,NA,0
256.166896,0.408,30.239016,0.256,NA,NA,0,NA,NA,0,NA,NA,0,17.813,0.025,2,16.357,0.096,2,15.72,0.021,2,NA,NA,0,NA,NA,0
256.178962,0.661,30.133024,0.287,17.812,0.244,1,18.004,0.209,1,NA,NA,0,17.978,0.119,1,17.477,0.191,1,NA,NA,0,NA,NA,0,NA,NA,0
256.186041,0.205,30.165562,0.227,15.266,0.012,2,15.867,0.024,2,NA,NA,0,15.503,0.022,2,15.038,0.015,2,14.888,0.027,2,NA,NA,0,NA,NA,0
256.186892,0.127,30.32746,0.061,15.194,0.008,2,15.867,0.056,2,NA,NA,0,15.468,0.015,2,15.016,0.047,2,14.756,0.034,2,NA,NA,0,NA,NA,0
256.188967,0.21,30.26549,0.176,16.081,0.036,2,17.217,0.029,2,NA,NA,0,16.593,0.041,2,15.61,0.015,2,15.058,0.049,2,NA,NA,0,NA,NA,0
256.191847,0.277,30.330362,0.488,NA,NA,0,NA,NA,0,NA,NA,0,17.101,0.006,2,16.349,0.083,2,15.868,0.029,2,NA,NA,0,NA,NA,0
256.192766,0.418,30.211111,0.201,17.09,0.034,2,17.785,0.132,2,NA,NA,0,17.318,0.028,2,16.827,0.061,2,NA,NA,0,NA,NA,0,NA,NA,0
256.196167,0.272,30.307083,0.116,16.203,0.041,2,16.64,0.012,2,NA,NA,0,16.334,0.005,2,16.079,0.005,2,15.679,0.101,1,NA,NA,0,NA,NA,0
256.196303,0.307,30.354384,0.334,17.334,0.173,1,17.661,0.167,1,NA,NA,0,17.533,0.116,2,16.868,0.045,2,NA,NA,0,NA,NA,0,NA,NA,0
256.1971,0.127,30.275608,0.064,NA,NA,0,NA,NA,0,NA,NA,0,18.499,0.199,1,17.636,0.218,1,NA,NA,0,NA,NA,0,NA,NA,0
256.201902,0.084,30.202214,0.099,14.267,0.005,2,14.725,0.003,2,NA,NA,0,14.404,0.021,2,14.16,0.032,2,14.036,0.035,2,NA,NA,0,NA,NA,0
256.203129,0.596,30.114597,0.426,16.365,0.054,2,17.292,0.111,2,NA,NA,0,16.573,0.081,2,15.938,0.042,2,15.502,0.145,2,NA,NA,0,NA,NA,0
256.205427,0.189,30.289564,0.316,16.117,0.017,2,16.73,0.079,2,NA,NA,0,16.386,0.015,2,16.043,0.056,2,15.849,0.101,2,NA,NA,0,NA,NA,0
256.205858,0.203,30.171275,0.174,16.575,0.086,1,17.291,0.114,1,NA,NA,0,16.748,0.015,2,16.234,0.08,2,16.103,0.145,1,NA,NA,0,NA,NA,0
256.206078,0.106,30.371631,0.076,14.813,0.043,2,15.429,0.02,2,NA,NA,0,15.029,0.015,2,14.656,0.025,2,14.425,0.028,2,NA,NA,0,NA,NA,0
256.208016,0.237,30.324697,0.266,NA,NA,0,NA,NA,0,NA,NA,0,17.898,0.058,2,16.713,0.038,2,16.25,0.177,1,NA,NA,0,NA,NA,0
256.208203,0.335,30.309766,0.121,NA,NA,0,NA,NA,0,NA,NA,0,18.232,0.164,1,16.989,0.137,1,16.407,0.216,1,NA,NA,0,NA,NA,0
256.208459,0.334,30.069608,0.262,16.532,0.017,2,17.072,0.013,2,NA,NA,0,16.759,0.042,2,16.329,0.031,2,15.96,0.383,2,NA,NA,0,NA,NA,0
256.209037,0.219,30.265364,0.266,16.547,0.01,2,17.08,0.128,2,NA,NA,0,16.669,0.02,2,16.322,0.088,2,16.091,0.146,1,NA,NA,0,NA,NA,0
256.209517,0.403,30.226162,0.185,16.876,0.108,1,17.541,0.144,1,NA,NA,0,17.168,0.019,2,16.735,0.035,2,16.197,0.16,1,NA,NA,0,NA,NA,0
256.211266,0.205,30.285229,0.046,15.486,0.015,2,16.144,0.022,2,NA,NA,0,15.704,0.004,2,15.245,0.03,2,15.065,0.068,2,NA,NA,0,NA,NA,0
256.212141,0.207,30.245856,0.178,16.079,0.05,2,16.834,0.002,2,NA,NA,0,16.363,0.041,2,15.901,0.009,2,15.65,0.168,2,NA,NA,0,NA,NA,0
256.212525,0.121,30.357436,0.09,14.232,0.006,2,14.79,0.006,2,NA,NA,0,14.418,0.008,2,14.103,0.028,2,13.963,0.001,2,NA,NA,0,NA,NA,0
256.216935,0.053,30.118429,0.057,14.11,0.016,2,14.635,0.002,2,NA,NA,0,14.293,0.018,2,13.977,0.012,2,13.814,0.03,2,NA,NA,0,NA,NA,0
256.21799,0.238,30.264655,0.299,17.705,0.225,1,17.889,0.197,1,NA,NA,0,17.466,0.064,2,17.306,0.132,2,NA,NA,0,NA,NA,0,NA,NA,0
256.218975,0.284,30.027175,0.284,17.398,0.173,1,17.753,0.172,1,NA,NA,0,17.468,0.149,2,16.876,0.162,2,NA,NA,0,NA,NA,0,NA,NA,0
256.219235,0.189,30.123897,0.068,14.041,0.007,2,14.651,0.012,2,NA,NA,0,14.255,0.021,2,13.833,0.024,2,13.619,0.054,2,NA,NA,0,NA,NA,0
256.219892,0.075,30.374966,0.066,13.88,0.007,2,14.56,0.026,2,NA,NA,0,14.144,0.018,2,13.713,0.016,2,13.506,0.019,2,NA,NA,0,NA,NA,0
256.224306,0.525,30.302675,0.304,17.169,0.073,2,17.72,0.095,2,NA,NA,0,17.397,0.028,2,17.034,0.072,2,NA,NA,0,NA,NA,0,NA,NA,0
256.225569,0.224,30.26537,0.179,15.348,0.033,2,16.08,0.027,2,NA,NA,0,15.639,0.018,2,15.119,0.058,2,14.967,0.033,2,NA,NA,0,NA,NA,0
256.231165,0.389,30.162374,0.338,NA,NA,0,NA,NA,0,NA,NA,0,17.875,0.168,2,17.161,0.028,2,NA,NA,0,NA,NA,0,NA,NA,0
256.231305,0.356,30.055035,0.064,NA,NA,0,NA,NA,0,NA,NA,0,17.847,0.106,1,17.505,0.202,1,NA,NA,0,NA,NA,0,NA,NA,0
256.234431,0.126,30.1392,0.068,14.519,0.019,2,15.119,0.023,2,NA,NA,0,14.73,0.008,2,14.315,0.038,2,14.15,0.046,2,NA,NA,0,NA,NA,0
256.235298,0.217,30.31111,0.233,15.895,0.103,2,16.948,0.14,2,NA,NA,0,16.226,0.031,2,15.627,0.015,2,15.214,0.212,2,NA,NA,0,NA,NA,0
256.237927,0.136,30.142442,0.079,15.112,0.017,2,16.364,0.068,2,NA,NA,0,15.719,0.035,2,14.599,0.009,2,14.031,0.029,2,NA,NA,0,NA,NA,0
256.237947,0.212,29.999664,0.342,NA,NA,0,NA,NA,0,NA,NA,0,18.634,0.221,1,17.487,0.199,1,NA,NA,0,NA,NA,0,NA,NA,0
256.240765,0.054,30.364474,0.068,13.841,0.03,2,14.662,0.009,2,NA,NA,0,14.158,0.019,2,13.598,0.037,2,13.332,0.003,2,NA,NA,0,NA,NA,0
256.240851,0.139,30.183666,0.14,15.833,0.075,2,16.431,0.03,2,NA,NA,0,16.031,0.051,2,15.639,0.01,2,15.479,0.012,2,NA,NA,0,NA,NA,0
256.241453,0.136,30.033397,0.385,NA,NA,0,NA,NA,0,NA,NA,0,18.344,0.167,1,16.94,0.12,1,16.293,0.184,1,NA,NA,0,NA,NA,0
256.242486,0.424,30.092047,0.185,17.502,0.196,1,18.535,0.352,1,NA,NA,0,17.671,0.092,1,16.904,0.113,1,16.888,0.296,1,NA,NA,0,NA,NA,0
256.244471,0.134,30.324187,0.08,14.147,0.01,2,15.119,0.009,2,NA,NA,0,14.548,0.013,2,13.802,0.029,2,13.529,0.027,2,NA,NA,0,NA,NA,0
256.245907,0.302,30.218068,0.342,16.723,0.052,2,17.389,0.223,2,NA,NA,0,16.981,0.008,2,16.686,0.057,2,16.419,0.196,1,NA,NA,0,NA,NA,0
256.246483,0.165,30.099908,0.445,NA,NA,0,NA,NA,0,NA,NA,0,18.103,0.147,2,17.227,0.037,2,NA,NA,0,NA,NA,0,NA,NA,0
256.249237,0.224,30.039848,0.053,NA,NA,0,NA,NA,0,NA,NA,0,18.107,0.132,1,17.297,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
256.251541,0.027,30.254516,0.07,11.993,0.008,2,12.613,0.012,2,NA,NA,0,12.22,0.019,2,11.836,0.023,2,11.664,0.02,2,NA,NA,0,NA,NA,0
256.255578,0.689,30.114104,0.12,NA,NA,0,NA,NA,0,NA,NA,0,18.252,0.151,1,17.749,0.242,1,NA,NA,0,NA,NA,0,NA,NA,0
256.256632,0.038,30.088485,0.088,NA,NA,0,NA,NA,0,NA,NA,0,18.254,0.159,1,17.722,0.243,1,NA,NA,0,NA,NA,0,NA,NA,0
256.261821,0.083,30.363545,0.085,15.322,0.038,2,15.93,0.007,2,NA,NA,0,15.522,0.036,2,15.158,0.069,2,14.878,0.143,2,NA,NA,0,NA,NA,0
256.262476,0.52,30.240545,0.246,NA,NA,0,NA,NA,0,NA,NA,0,18.668,0.228,1,17.14,0.148,1,15.989,0.147,1,NA,NA,0,NA,NA,0
256.265759,0.285,30.164951,0.171,16.972,0.12,1,18.299,0.26,1,NA,NA,0,17.449,0.096,2,16.213,0.05,2,15.065,0.051,2,NA,NA,0,NA,NA,0
256.267765,0.16,30.23575,0.136,15.532,0.063,2,16.314,0.065,2,NA,NA,0,15.855,0.015,2,15.32,0.049,2,15.124,0.107,2,NA,NA,0,NA,NA,0
256.269772,0.313,30.349377,0.226,16.263,0.018,2,17.142,0.047,2,NA,NA,0,16.645,0.043,2,15.972,0.103,2,15.644,0.192,2,NA,NA,0,NA,NA,0
256.270343,0.339,30.136099,0.223,NA,NA,0,NA,NA,0,NA,NA,0,18.611,0.205,1,17.483,0.197,1,16.962,0.341,1,NA,NA,0,NA,NA,0
256.273299,0.113,30.030106,0.098,14.591,0.013,2,15.192,0.009,2,NA,NA,0,14.801,0.01,2,14.397,0.024,2,14.196,0.044,2,NA,NA,0,NA,NA,0
256.275212,0.116,30.445292,0.181,NA,NA,0,NA,NA,0,NA,NA,0,17.57,0.084,1,17.55,0.202,1,NA,NA,0,NA,NA,0,NA,NA,0
256.275345,0.077,30.462461,0.121,14.476,0.012,2,15.112,0.028,2,NA,NA,0,14.707,0.032,2,14.304,0.017,2,14.06,0.034,2,NA,NA,0,NA,NA,0
256.278303,0.279,30.174377,0.442,17.131,0.259,2,17.762,0.145,2,NA,NA,0,17.655,0.213,2,17.41,0.032,2,NA,NA,0,NA,NA,0,NA,NA,0
256.278553,0.114,30.424915,0.077,14.96,0.014,2,15.94,0.01,2,NA,NA,0,15.362,0.035,2,14.618,0.061,2,14.274,0.044,2,NA,NA,0,NA,NA,0
256.281092,0.222,30.398435,0.063,NA,NA,0,NA,NA,0,NA,NA,0,17.517,0.081,1,16.886,0.115,1,NA,NA,0,NA,NA,0,NA,NA,0
256.283002,0.217,30.271546,0.307,16.657,0.109,2,17.251,0.02,2,NA,NA,0,16.842,0.02,2,16.301,0.171,2,16.187,0.158,1,NA,NA,0,NA,NA,0
256.283227,0.235,30.403242,0.342,15.282,0.043,2,16.363,0.006,2,NA,NA,0,15.716,0.004,2,14.867,0.058,2,14.376,0.025,2,NA,NA,0,NA,NA,0
256.284332,0.237,30.222455,0.12,15.878,0.011,2,16.298,0.011,2,NA,NA,0,16.049,0.011,2,15.698,0.08,2,15.582,0.017,2,NA,NA,0,NA,NA,0
256.285853,0.387,30.395871,0.307,16.594,0.045,2,17.178,0.182,2,NA,NA,0,16.803,0.007,2,16.258,0.002,2,15.975,0.141,1,NA,NA,0,NA,NA,0
256.286531,0.176,30.275654,0.467,17.653,0.235,1,18.055,0.229,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
256.286641,0.034,30.315376,0.061,12.991,0.015,2,13.58,0.028,2,NA,NA,0,13.204,0.023,2,12.844,0.026,2,12.673,0.031,2,NA,NA,0,NA,NA,0
256.287923,0.384,30.102459,0.254,16.639,0.078,2,17.568,0.041,2,NA,NA,0,17.086,0.027,2,16.387,0.035,2,16.087,0.034,2,NA,NA,0,NA,NA,0
256.288312,0.124,30.204291,0.168,15.72,0.022,2,16.458,0.028,2,NA,NA,0,16.066,0.036,2,15.424,0.04,2,15.255,0.04,2,NA,NA,0,NA,NA,0
256.288853,0.335,30.223314,0.022,NA,NA,0,NA,NA,0,NA,NA,0,17.759,0.099,1,17.216,0.145,1,NA,NA,0,NA,NA,0,NA,NA,0
256.288911,0.315,30.26454,0.472,15.315,0.016,2,15.985,0.03,2,NA,NA,0,15.59,0.009,2,15.177,0.019,2,14.985,0.091,2,NA,NA,0,NA,NA,0
256.289908,0.45,30.041975,0.101,NA,NA,0,NA,NA,0,NA,NA,0,17.965,0.12,1,17.583,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
256.290249,0.173,30.06838,0.139,15.51,0.002,2,16.406,0.049,2,NA,NA,0,15.855,0.009,2,15.257,0.005,2,14.898,0.011,2,NA,NA,0,NA,NA,0
256.290698,0.25,30.212923,0.23,16.514,0.051,2,17.406,0.08,2,NA,NA,0,16.732,0.008,2,15.964,0.083,2,15.638,0.025,2,NA,NA,0,NA,NA,0
256.291051,0.465,30.230229,0.258,16.932,0.113,1,17.822,0.187,1,NA,NA,0,17.454,0.078,2,16.596,0.07,2,16.135,0.162,1,NA,NA,0,NA,NA,0
256.292047,0.134,30.009143,0.397,NA,NA,0,NA,NA,0,NA,NA,0,17.939,0.116,1,17.198,0.144,1,NA,NA,0,NA,NA,0,NA,NA,0
256.29496,0.086,30.310141,0.056,14.035,0.017,2,14.665,0.023,2,NA,NA,0,14.279,0.018,2,13.863,0.027,2,13.672,0.012,2,NA,NA,0,NA,NA,0
