radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
182.566135,0.409,32.749268,0.369, , ,0, , ,0, , ,0,18.4,0.124,3,17.019,0.06,3,15.882,0.081,2, , ,0, , ,0
182.578876,0.223,32.590608,0.172,14.363,0.039,7,15.278,0.318,7, , ,0,14.842,0.27,7,14.131,0.083,7,13.873,0.079,7, , ,0, , ,0
182.583163,0.277,32.718133,0.154,14.452,0.031,6,15.132,0.025,6, , ,0,14.834,0.27,7,14.268,0.081,7,14.088,0.087,7, , ,0, , ,0
182.583742,0.111,32.688344,0.093,14.554,0.045,6,15.333,0.043,6, , ,0,14.922,0.032,5,14.365,0.09,5,14.144,0.054,5, , ,0, , ,0
182.590649,0.41,32.673524,0.345,15.955,0.036,6,16.997,0.099,6, , ,0,16.477,0.049,6,15.555,0.088,6,15.198,0.146,6, , ,0, , ,0
182.607174,0.183,32.836667,0.436, , ,0, , ,0, , ,0,18.119,0.014,2,17.454,0.05,2, , ,0, , ,0, , ,0
182.625797,0.583,32.605181,0.303, , ,0, , ,0, , ,0,18.315,0.124,3,16.807,0.08,3,15.877,0.318,3, , ,0, , ,0
182.627464,0.129,32.816872,0.124,14.52,0.028,7,15.347,0.04,7, , ,0,14.928,0.069,7,14.286,0.101,7,14.091,0.088,7, , ,0, , ,0
182.628145,0.363,32.806137,0.251,15.915,0.049,6,16.569,0.074,6, , ,0,16.259,0.071,7,15.716,0.09,7,15.612,0.152,7, , ,0, , ,0
182.630754,0.105,32.759169,0.168,14.447,0.047,7,15.251,0.062,7, , ,0,14.849,0.072,7,14.252,0.092,7,14.064,0.096,7, , ,0, , ,0
182.631879,0.467,32.784837,0.331,16.023,0.066,5,17.678,0.164,5, , ,0,16.894,0.084,6,15.45,0.097,6,14.385,0.116,6, , ,0, , ,0
182.633527,0.16,32.934011,0.124,14.998,0.036,6,15.676,0.065,6, , ,0,15.316,0.077,7,14.799,0.099,7,14.671,0.098,7, , ,0, , ,0
182.635504,0.394,32.845616,0.392,16.312,0.064,6,17.373,0.123,6, , ,0,16.855,0.054,7,15.987,0.108,7,15.61,0.114,7, , ,0, , ,0
182.63718,0.28,32.80151,0.277, , ,0, , ,0, , ,0,17.518,0.149,6,16.194,0.047,6,15.449,0.176,6, , ,0, , ,0
182.639175,0.4,32.748758,0.329,16.307,0.06,6,17.069,0.044,6, , ,0,16.75,0.07,7,16.02,0.122,7,15.991,0.272,7, , ,0, , ,0
182.639388,0.305,32.934118,0.253,15.774,0.072,6,17.101,0.05,6, , ,0,16.534,0.035,6,15.171,0.07,6,14.482,0.083,6, , ,0, , ,0
182.642529,0.405,32.779014,0.459, , ,0, , ,0, , ,0,17.89,0.116,5,16.655,0.137,5,15.531,0.124,5, , ,0, , ,0
182.642639,0.116,32.547828,0.117,11.234,0.036,7,11.99,0.286,7, , ,0,11.635,0.25,7,11.079,0.085,7,10.927,0.081,7, , ,0, , ,0
182.645336,0.303,32.624072,0.297,16.5,0.039,4,17.78,0.128,4, , ,0,17.243,0.119,6,15.957,0.165,6,15.398,0.105,6, , ,0, , ,0
182.64861,0.257,32.631519,0.314, , ,0, , ,0, , ,0,18.136,0.141,1,17.016,0.154,1, , ,0, , ,0, , ,0
182.649766,0.433,32.68642,0.385,16.966,0.055,2,17.925,0.137,2, , ,0,17.598,0.092,6,16.417,0.117,6,15.682,0.22,6, , ,0, , ,0
182.65005,0.412,32.61965,0.352,16.191,0.086,6,17.482,0.072,6, , ,0,16.903,0.058,6,15.721,0.091,6,15.141,0.112,6, , ,0, , ,0
182.654148,0.404,32.562065,0.258,16.053,0.064,6,16.933,0.164,6, , ,0,16.488,0.087,6,15.655,0.077,6,15.395,0.163,5, , ,0, , ,0
182.657516,0.236,32.551218,0.078,12.973,0.045,7,13.724,0.274,7, , ,0,13.37,0.26,7,12.82,0.088,7,12.68,0.08,7, , ,0, , ,0
182.658683,0.371,32.561963,0.252,15.682,0.066,6,15.708,0.075,6, , ,0,15.665,0.233,7,15.732,0.068,7,15.869,0.197,5, , ,0, , ,0
182.662914,0.222,32.547636,0.248,15.475,0.041,6,16.069,0.044,6, , ,0,15.767,0.079,6,15.298,0.078,6,15.115,0.08,6, , ,0, , ,0
182.665986,0.836,32.809503,0.535,17.731,0.257,1,17.748,0.189,1, , ,0,17.896,0.153,1,17.155,0.221,1, , ,0, , ,0, , ,0
182.666315,0.864,32.591571,0.597,17.601,0.293,3,18.135,0.065,3, , ,0,17.797,0.047,3,17.381,0.21,3, , ,0, , ,0, , ,0
182.679642,0.328,32.945225,0.293,16.042,0.076,6,16.981,0.121,6, , ,0,16.546,0.122,7,15.704,0.085,7,15.438,0.24,7, , ,0, , ,0
182.683148,0.382,32.986677,0.412,16.642,0.078,6,17.357,0.121,6, , ,0,16.971,0.087,6,16.459,0.206,6,16.267,0.177,4, , ,0, , ,0
182.691958,0.462,32.603202,0.245,16.482,0.083,4,17.782,0.079,4, , ,0,17.167,0.044,6,15.801,0.098,6,15.162,0.121,6, , ,0, , ,0
182.696847,0.331,32.959152,0.305,16.056,0.068,6,16.634,0.08,6, , ,0,16.349,0.076,6,15.81,0.135,6,15.752,0.154,6, , ,0, , ,0
182.699388,0.136,32.952893,0.135,12.944,0.037,7,14.006,0.056,7, , ,0,13.52,0.044,6,12.58,0.089,6,12.205,0.08,6, , ,0, , ,0
182.702862,0.248,32.528193,0.185,15.414,0.09,7,16.359,0.197,7, , ,0,15.907,0.272,7,15.107,0.103,7,14.856,0.128,7, , ,0, , ,0
182.70581,0.188,32.748508,0.296,10.559,0.019,6,11.175,0.029,6, , ,0,10.892,0.067,7,10.422,0.097,7,10.293,0.089,7, , ,0, , ,0
182.707428,0.332,32.593986,0.278,16.171,0.079,6,16.733,0.143,6, , ,0,16.469,0.077,6,16.117,0.102,6,15.982,0.17,3, , ,0, , ,0
182.707458,0.066,32.871673,0.057,11.493,0.035,7,12.35,0.057,7, , ,0,11.941,0.076,7,11.271,0.099,7,11.076,0.088,7, , ,0, , ,0
182.708385,0.071,32.767808,0.079,12.249,0.038,7,12.783,0.069,7, , ,0,12.522,0.073,7,12.151,0.096,7,12.085,0.093,7, , ,0, , ,0
182.708975,0.326,32.58935,0.177,14.113,0.049,7,14.91,0.274,7, , ,0,14.523,0.261,7,13.917,0.085,7,13.731,0.07,7, , ,0, , ,0
182.709716,0.12,32.965416,0.153,14.842,0.049,7,15.621,0.063,7, , ,0,15.231,0.065,7,14.643,0.093,7,14.503,0.076,7, , ,0, , ,0
182.718619,0.635,32.719867,0.578,16.847,0.123,4,17.645,0.132,4, , ,0,17.264,0.183,7,16.313,0.103,7,16.025,0.145,6, , ,0, , ,0
