radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
259.766235,0.43,62.035393,0.345,16.183,0.066,1,16.711,0.079,1,NA,NA,0,16.354,0.044,2,15.906,0.071,2,15.689,0.022,2,NA,NA,0,NA,NA,0
259.774421,0.355,62.081666,0.266,15.765,0.08,2,16.468,0.121,2,NA,NA,0,16.108,0.054,2,15.57,0.012,2,15.331,0.016,2,NA,NA,0,NA,NA,0
259.775839,0.089,62.205467,0.096,13.504,0.008,2,14.024,0.008,2,NA,NA,0,13.701,0.02,2,13.346,0.03,2,13.223,0.014,2,NA,NA,0,NA,NA,0
259.780386,0.199,62.124867,0.142,14.179,0.036,2,15.51,0.009,2,NA,NA,0,14.872,0.013,2,13.619,0.017,2,13.096,0.028,2,NA,NA,0,NA,NA,0
259.785219,0.264,62.237019,0.195,16.63,0.103,1,18.094,0.254,1,NA,NA,0,17.04,0.06,1,16.31,0.078,1,16.333,0.196,1,NA,NA,0,NA,NA,0
259.790877,0.188,62.106602,0.166,NA,NA,0,NA,NA,0,NA,NA,0,17.576,0.092,1,17.008,0.142,1,NA,NA,0,NA,NA,0,NA,NA,0
259.7958,0.427,62.148547,0.272,15.874,0.007,2,16.403,0.112,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
259.798959,0.127,61.996153,0.181,16.344,0.082,1,17.24,0.124,1,NA,NA,0,16.735,0.045,1,16.07,0.065,1,16.076,0.16,1,NA,NA,0,NA,NA,0
259.80981,0.461,62.27379,0.339,15.996,0.009,2,16.678,0.305,2,NA,NA,0,16.456,0.036,2,15.587,0.026,2,NA,NA,0,NA,NA,0,NA,NA,0
259.812721,0.515,62.172394,0.281,16.273,0.074,1,17.058,0.102,1,NA,NA,0,16.524,0.203,2,16.292,0.17,2,15.816,0.038,2,NA,NA,0,NA,NA,0
259.81567,0.13,61.973907,0.329,14.415,0.016,1,14.993,0.019,1,NA,NA,0,14.602,0.033,2,14.173,0.03,2,14.036,0.016,2,NA,NA,0,NA,NA,0
259.81751,0.336,62.015112,0.479,15.727,0.026,2,16.425,0.065,2,NA,NA,0,16.097,0.027,1,15.52,0.041,1,15.443,0.092,1,NA,NA,0,NA,NA,0
259.827458,0.316,61.96703,0.33,15.598,0.074,2,16.422,0.08,2,NA,NA,0,16.065,0.012,2,15.404,0.007,2,15.235,0.087,2,NA,NA,0,NA,NA,0
259.82889,0.088,62.287494,0.097,13.058,0.014,2,13.537,0.019,2,NA,NA,0,13.243,0.025,2,12.925,0.026,2,12.791,0.001,2,NA,NA,0,NA,NA,0
259.839042,0.209,62.050884,0.245,14.158,0.039,2,14.896,0.05,2,NA,NA,0,14.498,0.019,2,13.954,0.037,2,13.777,0.008,2,NA,NA,0,NA,NA,0
259.842826,0.414,62.310903,0.364,16.722,0.109,1,17.396,0.144,1,NA,NA,0,17.015,0.059,1,NA,NA,0,16.484,0.225,1,NA,NA,0,NA,NA,0
259.854253,0.163,62.272638,0.116,14.274,0.06,2,14.892,0.052,2,NA,NA,0,14.559,0.016,2,14.106,0.013,2,13.904,0.007,2,NA,NA,0,NA,NA,0
259.859838,0.268,62.303097,0.179,14.854,0.014,2,15.452,0.061,2,NA,NA,0,15.028,0.051,2,14.669,0.011,2,14.539,0.011,2,NA,NA,0,NA,NA,0
259.860465,0.448,62.031787,0.315,NA,NA,0,NA,NA,0,NA,NA,0,18.118,0.148,1,16.868,0.134,1,16.015,0.154,1,NA,NA,0,NA,NA,0
259.861667,0.26,62.331266,0.277,16.147,0.182,2,16.917,0.058,2,NA,NA,0,16.356,0.159,2,16.06,0.06,1,16.062,0.124,2,NA,NA,0,NA,NA,0
259.866025,0.178,61.988235,0.131,14.248,0.013,2,15.042,0.03,2,NA,NA,0,14.591,0.03,2,13.987,0.03,2,13.725,0.006,2,NA,NA,0,NA,NA,0
259.875859,0.194,62.206911,0.104,14.162,0,2,14.819,0.022,2,NA,NA,0,14.432,0.035,2,13.972,0.035,2,13.796,0.004,2,NA,NA,0,NA,NA,0
259.89089,0.157,62.165488,0.142,13.838,0.019,2,14.461,0.024,2,NA,NA,0,14.103,0.032,2,13.701,0.032,2,13.492,0.015,2,NA,NA,0,NA,NA,0
259.892852,0.252,61.96801,0.267,15.978,0.105,2,16.519,0.016,2,NA,NA,0,16.136,0.027,1,15.727,0.048,1,15.707,0.11,1,NA,NA,0,NA,NA,0
259.897626,0.434,62.349981,0.377,16.678,0.103,1,17.047,0.099,1,NA,NA,0,16.843,0.048,1,16.267,0.075,1,16.442,0.203,1,NA,NA,0,NA,NA,0
259.901091,0.283,62.27499,0.249,16.106,0.067,1,16.794,0.08,1,NA,NA,0,16.461,0.038,1,15.861,0.058,1,15.881,0.127,1,NA,NA,0,NA,NA,0
