radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
140.728603,0.597,40.335756,0.357,16.585,0.11,1,17.208,0.136,1, , ,0,16.813,0.005,2,16.639,0.085,2,16.258,0.109,2, , ,0, , ,0
140.744398,0.084,40.274122,0.081,13.631,0.023,2,14.127,0.005,2, , ,0,13.651,0.036,2,13.477,0.002,2,13.288,0.03,2, , ,0, , ,0
140.754323,0.514,40.254664,0.296,16.129,0.067,2,17.129,0.047,2, , ,0,16.395,0.027,2,15.897,0.01,2,15.586,0.023,2, , ,0, , ,0
140.758117,1.041,40.399982,0.296, , ,0, , ,0, , ,0,17.679,0.177,2,16.451,0.092,2,15.942,0.025,2, , ,0, , ,0
140.763694,0.88,40.354127,0.602,17.134,0.165,1,17.44,0.172,1, , ,0,17.368,0.39,2,16.926,0.001,2, , ,0, , ,0, , ,0
140.769412,0.164,40.322394,0.252,14.74,0.007,2,16.111,0.091,2, , ,0,15.283,0.047,2,14.136,0.033,2,13.584,0.009,2, , ,0, , ,0
140.769822,0.283,40.457073,0.155,14.971,0.025,2,16.289,0.03,2, , ,0,15.503,0.026,2,14.325,0.03,2,13.575,0.052,2, , ,0, , ,0
140.771263,0.335,40.436729,0.407,16.248,0.083,1,17.807,0.237,1, , ,0,16.793,0.002,2,15.556,0.056,2,14.024,0.01,2, , ,0, , ,0
140.777286,0.098,40.313152,0.165,13.786,0.021,2,14.411,0.012,2, , ,0,13.865,0.028,2,13.554,0.004,2,13.354,0.059,2, , ,0, , ,0
140.778074,0.56,40.460109,0.474, , ,0, , ,0, , ,0,17.579,0.034,2,16.445,0.053,2,15.802,0.154,1, , ,0, , ,0
140.793164,0.486,40.224981,0.298,16.469,0.008,2,17.288,0.025,2, , ,0,16.594,0.01,2,16.11,0.017,2,15.933,0.245,2, , ,0, , ,0
140.793391,0.573,40.348669,0.444, , ,0, , ,0, , ,0,17.599,0.128,1,17.546,0.255,1, , ,0, , ,0, , ,0
140.795191,0.143,40.604201,0.187,14.914,0.066,2,15.482,0.017,2, , ,0,14.971,0.053,2,14.738,0.017,2,14.592,0.064,2, , ,0, , ,0
140.797336,0.123,40.236612,0.223,15.034,0.031,2,15.617,0.022,2, , ,0,15.106,0.022,2,14.838,0.035,2,14.757,0.024,2, , ,0, , ,0
140.797616,0.302,40.362231,0.445,16.06,0.043,2,16.447,0.027,2, , ,0,16.005,0.029,2,15.844,0.008,2,15.748,0.115,2, , ,0, , ,0
140.801652,0.336,40.540355,0.405, , ,0, , ,0, , ,0,17.351,0.118,1,16.985,0.164,1, , ,0, , ,0, , ,0
140.804314,0.255,40.397462,0.308,15.602,0.045,2,16.168,0.014,2, , ,0,15.652,0.017,2,15.318,0.028,2,15.093,0.034,2, , ,0, , ,0
140.806573,0.503,40.384017,0.438, , ,0, , ,0, , ,0,17.403,0.129,1,16.816,0.15,1, , ,0, , ,0, , ,0
140.809164,0.562,40.393423,0.434,16.636,0.042,2,17.298,0.198,2, , ,0,16.841,0.014,2,16.445,0.125,2, , ,0, , ,0, , ,0
140.810994,0.228,40.374898,0.216,15.236,0.029,2,15.855,0.006,2, , ,0,15.352,0.011,2,15.028,0.032,2,14.76,0.056,2, , ,0, , ,0
140.814103,0.452,40.230395,0.494, , ,0, , ,0, , ,0,17.312,0.061,2,16.695,0.149,2, , ,0, , ,0, , ,0
140.815119,0.057,40.568156,0.063,12.023,0.026,2,12.884,0.022,2, , ,0,12.249,0.034,2,11.697,0.011,2,11.385,0.021,2, , ,0, , ,0
140.822342,0.345,40.20003,0.431,15.161,0.026,2,15.736,0.023,2, , ,0,15.202,0.054,2,14.8,0.012,2,14.484,0.014,2, , ,0, , ,0
140.824846,0.393,40.638061,0.313,15.907,0.077,2,16.961,0.093,2, , ,0,16.181,0.045,2,15.497,0.002,2,15.17,0.016,2, , ,0, , ,0
140.825031,0.43,40.194819,0.351,15.374,0.004,2,15.811,0.023,2, , ,0,15.387,0.044,2,15.258,0.003,2,14.969,0.074,2, , ,0, , ,0
140.832266,0.247,40.358288,0.386,15.721,0.054,2,16.406,0.125,2, , ,0,15.783,0.126,2,15.555,0.03,2,15.279,0.007,2, , ,0, , ,0
140.836639,0.646,40.410912,0.711, , ,0, , ,0, , ,0,15.978,0.031,1,15.232,0.036,1,14.821,0.058,1, , ,0, , ,0
140.846175,0.371,40.621124,0.383,15.885,0.06,1,16.539,0.079,1, , ,0,16.032,0.051,2,15.784,0.073,2,15.694,0.092,2, , ,0, , ,0
140.850482,0.082,40.421592,0.058,13.087,0.026,2,13.552,0.001,2, , ,0,13.079,0.039,2,12.955,0.015,2,12.828,0.071,2, , ,0, , ,0
140.851983,0.661,40.543332,0.316,16.703,0.153,2,17.184,0.166,2, , ,0,16.842,0.009,2,16.417,0.006,2,16.327,0.223,1, , ,0, , ,0
140.853167,0.388,40.558931,0.32, , ,0, , ,0, , ,0,16.945,0.083,1,16.464,0.107,1,16.317,0.242,1, , ,0, , ,0
140.857775,0.597,40.209324,0.401, , ,0, , ,0, , ,0,17.131,0.052,2,16.488,0.01,2,16.041,0.061,2, , ,0, , ,0
140.858859,0.063,40.491643,0.053,12.535,0.034,2,13.059,0.003,2, , ,0,12.572,0.032,2,12.379,0.015,2,12.209,0.038,2, , ,0, , ,0
140.871587,0.298,40.51932,0.249,15.922,0.016,2,16.866,0.061,2, , ,0,16.232,0.02,2,15.504,0.002,2,15.135,0.008,2, , ,0, , ,0
140.875017,0.245,40.670748,0.224,15.244,0.021,2,16.306,0.032,2, , ,0,15.622,0.052,2,14.774,0.001,2,14.44,0.097,2, , ,0, , ,0
140.876678,0.555,40.28813,0.331,16.468,0.16,2,16.859,0.055,2, , ,0,16.319,0.025,2,16.344,0.08,2,16.351,0.21,1, , ,0, , ,0
140.883334,0.264,40.429866,0.367,16.405,0.091,1,16.868,0.102,1, , ,0,16.381,0.09,2,16.162,0.081,2,15.907,0.057,2, , ,0, , ,0
140.886987,0.295,40.257213,0.444,16.358,0.057,2,17.347,0.004,2, , ,0,16.858,0.095,2,15.755,0.038,2,14.912,0.051,2, , ,0, , ,0
140.895298,0.161,40.565742,0.108,14.704,0.022,2,15.723,0.017,2, , ,0,15.009,0.045,2,14.242,0.017,2,13.81,0.052,2, , ,0, , ,0
140.899825,0.478,40.57033,0.202,16.002,0.065,1,17.296,0.142,1, , ,0,16.521,0.017,2,15.389,0.026,2,14.591,0.004,2, , ,0, , ,0
140.902106,0.386,40.582825,0.33, , ,0, , ,0, , ,0,17.462,0.11,1,17.065,0.179,1, , ,0, , ,0, , ,0
140.909709,0.403,40.669623,0.378,16.134,0.056,2,16.601,0.053,2, , ,0,16.259,0.023,2,16.028,0.046,2,15.918,0.112,2, , ,0, , ,0
140.914278,0.28,40.396599,0.163,15.058,0.011,2,15.727,0.009,2, , ,0,15.189,0.038,2,14.771,0.007,2,14.525,0.082,2, , ,0, , ,0
140.920045,0.476,40.345965,0.28,15.855,0.098,2,17.181,0.239,2, , ,0,16.326,0.007,2,15.286,0.009,2,14.624,0.006,2, , ,0, , ,0
140.926857,0.268,40.495471,0.619, , ,0, , ,0, , ,0,17.52,0.147,2,16.981,0.064,2, , ,0, , ,0, , ,0
140.928546,1.008,40.129853,0.288, , ,0, , ,0, , ,0,17.633,0.145,1,16.242,0.094,1,15.07,0.085,1, , ,0, , ,0
140.932119,0.082,40.119494,0.105,13.617,0.031,2,14.353,0.007,2, , ,0,13.77,0.033,2,13.327,0.01,2,13.062,0.029,2, , ,0, , ,0
140.932845,0.121,40.697002,0.076,13.776,0.028,2,14.443,0.022,2, , ,0,13.894,0.032,2,13.555,0.007,2,13.315,0.065,2, , ,0, , ,0
140.934906,0.091,40.205269,0.096,13.993,0.035,2,14.448,0.022,2, , ,0,13.982,0.036,2,13.86,0.032,2,13.74,0.077,2, , ,0, , ,0
140.937295,0.378,40.124967,0.226,15.559,0.012,2,16.067,0.096,2, , ,0,15.616,0.059,2,15.327,0.078,2,15.184,0.028,2, , ,0, , ,0
140.93814,0.837,40.255544,0.631, , ,0, , ,0, , ,0,16.975,0.025,2,16.618,0.062,2, , ,0, , ,0, , ,0
140.940227,0.046,40.485802,0.07,12.939,0.016,2,13.307,0.015,2, , ,0,12.882,0.034,2,12.844,0.006,2,12.746,0.039,2, , ,0, , ,0
140.942508,0.352,40.498225,0.555,17.006,0.175,1,17.497,0.19,1, , ,0,16.818,0.059,2,16.407,0.049,2,16.107,0.036,2, , ,0, , ,0
140.95424,0.292,40.72706,0.224,15.204,0.023,2,15.68,0.016,2, , ,0,15.239,0,2,15.018,0.022,2,14.827,0.116,2, , ,0, , ,0
140.958231,0.083,40.243928,0.08,13.645,0.017,2,14.297,0.026,2, , ,0,13.755,0.037,2,13.431,0.011,2,13.212,0.023,2, , ,0, , ,0
140.958318,0.261,40.250931,0.254,15.221,0.005,2,15.822,0.011,2, , ,0,15.308,0.038,2,14.992,0.019,2,14.808,0.042,2, , ,0, , ,0
140.958995,0.072,40.203488,0.138,13.663,0.045,2,14.154,0.006,2, , ,0,13.682,0.029,2,13.517,0.011,2,13.38,0.03,2, , ,0, , ,0
140.960442,0.26,40.134253,0.321,15.749,0.05,2,17.031,0.002,2, , ,0,16.079,0.041,2,15.217,0.021,2,14.797,0.126,2, , ,0, , ,0
140.962504,0.375,40.155169,0.111,10.191,0.021,2,10.803,0.009,2, , ,0,10.285,0.031,2,10.009,0.001,1, , ,0, , ,0, , ,0
140.964109,0.464,40.433454,0.276,16.017,0.023,2,16.682,0.086,2, , ,0,16.041,0.021,2,15.67,0.056,2,15.492,0.002,2, , ,0, , ,0
140.968515,0.405,40.06803,0.306,16.135,0.082,2,16.986,0.122,2, , ,0,16.287,0.063,2,15.79,0.087,2,15.368,0.154,2, , ,0, , ,0
140.968603,0.268,40.709952,0.298,14.868,0.033,2,15.521,0.031,2, , ,0,15.001,0.069,2,14.627,0.003,2,14.433,0.09,2, , ,0, , ,0
