radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
218.600717,,40.082729,,15.584,0.022,,16.136,0.05,,,,,,,,15.428,0.024,,15.267,0.065,,,,,,,
218.593263,,40.099313,,16.293,0.058,,16.876,0.128,,,,,,,,16.082,0.049,,15.943,0,,,,,,,
218.676604,,40.103313,,13.091,0.023,,13.651,0.019,,,,,,,,12.932,0.022,,12.786,0.027,,,,,,,
218.691896,,40.110767,,15.178,0.042,,16.015,0.042,,,,,,,,14.858,0.05,,14.632,0.041,,,,,,,
218.616334,,40.156528,,14.438,0.035,,15.219,0.043,,,,,,,,14.184,0.01,,13.976,0.029,,,,,,,
218.633252,,40.139254,,16.322,0.057,,16.986,0.065,,,,,,,,16.24,0.062,,16.014,0,,,,,,,
218.662669,,40.141193,,13.679,0.014,,14.311,0.037,,,,,,,,13.501,0.012,,13.349,0.043,,,,,,,
218.444907,,40.080994,,14.933,0.176,,15.802,0.214,,,,,,,,14.553,0.152,,14.156,0.143,,,,,,,
218.367481,,40.122017,,13.992,0.011,,14.576,0.047,,,,,,,,13.812,0.028,,13.668,0.037,,,,,,,
218.312702,,40.170285,,16.542,0.107,,17.142,0.008,,,,,,,,16.28,0,,      ,      ,,,,,,,
218.34639,,40.194752,,15.056,0.021,,15.585,0.044,,,,,,,,14.9,0.028,,14.747,0.048,,,,,,,
218.35442,,40.18677,,15.487,0.045,,16.26,0.073,,,,,,,,15.197,0.045,,15.047,0.089,,,,,,,
218.498071,,40.124771,,15.482,0.041,,16.263,0.099,,,,,,,,15.061,0.066,,14.896,0.085,,,,,,,
218.532348,,40.101656,,14.598,0.04,,15.712,0.045,,,,,,,,14.107,0.019,,13.73,0.035,,,,,,,
218.536469,,40.163647,,15.6,0.038,,16.398,0.06,,,,,,,,15.266,0.023,,15.08,0.047,,,,,,,
218.451523,,40.094088,,14.754,0.031,,15.386,0.092,,,,,,,,14.442,0.055,,14.079,0.096,,,,,,,
218.452875,,40.118475,,15.171,0.026,,15.864,0.051,,,,,,,,14.987,0.026,,14.827,0.1,,,,,,,
218.477833,,40.17688,,16.455,0,,17.063,0.063,,,,,,,,16.167,0,,16,0,,,,,,,
218.471494,,40.190937,,14.524,0.034,,15.22,0.056,,,,,,,,14.3,0.02,,14.144,0.029,,,,,,,
218.487768,,40.19154,,15.703,0.046,,16.227,0.054,,,,,,,,15.573,0.044,,15.479,0.09,,,,,,,
218.650042,,40.206611,,14.353,0.035,,14.917,0.027,,,,,,,,14.178,0.024,,14.031,0.062,,,,,,,
218.602426,,40.22029,,14.972,0.05,,15.599,0.025,,,,,,,,14.81,0.012,,14.653,0.043,,,,,,,
218.620527,,40.249437,,15.698,0.022,,16.419,0.054,,,,,,,,15.379,0.042,,15.159,0.015,,,,,,,
218.568416,,40.215754,,15.575,0.011,,16.471,0.072,,,,,,,,15.207,0.102,,14.833,0.065,,,,,,,
218.565958,,40.288228,,15.014,0.029,,15.684,0.064,,,,,,,,14.857,0.014,,14.709,0.049,,,,,,,
218.447129,,40.238677,,      ,      ,,      ,      ,,,,,,,,16.571,0.081,,      ,      ,,,,,,,
218.427906,,40.290702,,16.188,0.097,,17.298,0.112,,,,,,,,15.827,0.045,,15.588,0.134,,,,,,,
218.379856,,40.285426,,16.642,0.022,,18.115,0.064,,,,,,,,16.006,0.049,,15.221,0.079,,,,,,,
218.406638,,40.293528,,16.034,0.014,,16.543,0.065,,,,,,,,15.893,0.067,,15.599,0,,,,,,,
218.494075,,40.244214,,      ,      ,,      ,      ,,,,,,,,15.653,0.236,,15.318,0.177,,,,,,,
218.494654,,40.244656,,      ,      ,,      ,      ,,,,,,,,      ,      ,,      ,      ,,,,,,,
218.529178,,40.278281,,16.583,0,,17.857,0.115,,,,,,,,      ,      ,,15.768,0.165,,,,,,,
218.525887,,40.306483,,15.709,0.014,,16.612,0.057,,,,,,,,15.362,0.019,,15.096,0.034,,,,,,,
218.498965,,40.341446,,13.407,0.035,,14.088,0.011,,,,,,,,13.214,0.036,,12.922,0,,,,,,,
218.506231,,40.342023,,12.23,0.016,,12.811,0.019,,,,,,,,12.094,0.023,,11.947,0.029,,,,,,,
218.48835,,40.368739,,16.096,0,,16.923,0.052,,,,,,,,15.769,0.031,,15.473,0,,,,,,,
218.487825,,40.368788,,16.065,0,,16.789,0,,,,,,,,15.726,0,,15.725,0,,,,,,,
218.296553,,40.216124,,16.158,0.045,,16.663,0.037,,,,,,,,15.971,0.016,,15.803,0.224,,,,,,,
218.3478,,40.26522,,      ,      ,,      ,      ,,,,,,,,16.594,0.084,,15.951,0,,,,,,,
218.330978,,40.327915,,15.282,0.026,,16.045,0.059,,,,,,,,15.072,0.032,,14.734,0.046,,,,,,,
