radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.008137,0.684,9.330636,0.347,17.597,0.275,1,17.978,0.204,1,NA,NA,0,17.922,0.134,2,17.706,0.465,2,NA,NA,0,NA,NA,0,NA,NA,0
172.017055,0.633,9.3523,0.572,NA,NA,0,NA,NA,0,NA,NA,0,18.401,0.073,2,17.235,0.181,2,16.565,0.332,1,NA,NA,0,NA,NA,0
172.01895,0.238,9.453958,0.438,15.188,0.055,4,15.459,0.068,4,NA,NA,0,15.259,0.02,4,15.212,0.075,4,15.277,0.148,4,NA,NA,0,NA,NA,0
172.025959,0.417,9.423894,0.464,17.184,0.152,1,18.213,0.237,1,NA,NA,0,18.021,0.118,3,16.715,0.076,3,16.029,0.442,2,NA,NA,0,NA,NA,0
172.030583,0.359,9.414469,0.493,16.396,0.033,4,17.202,0.079,4,NA,NA,0,16.753,0.047,4,16.228,0.055,4,15.986,0.154,4,NA,NA,0,NA,NA,0
172.035948,0.552,9.535955,0.486,NA,NA,0,NA,NA,0,NA,NA,0,17.82,0.038,4,16.948,0.118,4,16.45,0.318,1,NA,NA,0,NA,NA,0
172.040767,0.476,9.376307,0.335,NA,NA,0,NA,NA,0,NA,NA,0,18.265,0.076,3,16.901,0.057,3,16.06,0.126,3,NA,NA,0,NA,NA,0
172.044695,0.163,9.327729,0.221,15.182,0.028,4,16.232,0.086,4,NA,NA,0,15.632,0.024,4,14.862,0.053,4,14.584,0.06,4,NA,NA,0,NA,NA,0
172.046181,0.567,9.289089,0.278,16.611,0.07,3,17.677,0.098,3,NA,NA,0,17.225,0.074,4,16.296,0.069,4,15.789,0.149,4,NA,NA,0,NA,NA,0
172.047779,0.462,9.548687,0.432,15.424,0.053,4,16.071,0.029,4,NA,NA,0,15.714,0.037,4,15.18,0.051,4,15.08,0.093,4,NA,NA,0,NA,NA,0
172.049445,0.517,9.222039,0.349,16.462,0.04,4,17.136,0.069,4,NA,NA,0,16.707,0.046,4,16.324,0.079,4,16.098,0.206,4,NA,NA,0,NA,NA,0
172.050112,1.043,9.45023,0.855,17.077,0.053,3,17.993,0.3,3,NA,NA,0,17.707,0.064,4,16.508,0.097,4,16.014,0.047,3,NA,NA,0,NA,NA,0
172.050953,0.306,9.532069,0.316,14.188,0.032,4,14.75,0.089,4,NA,NA,0,14.415,0.026,4,14.057,0.035,4,13.936,0.085,4,NA,NA,0,NA,NA,0
172.056626,0.47,9.553111,0.471,16.887,0.117,1,17.953,0.186,1,NA,NA,0,17.493,0.084,4,16.214,0.129,4,15.471,0.159,4,NA,NA,0,NA,NA,0
172.061726,0.429,9.147257,0.685,14.883,0.058,4,15.842,0.074,4,NA,NA,0,15.336,0.038,4,14.517,0.05,4,14.161,0.043,4,NA,NA,0,NA,NA,0
172.065264,0.163,9.598548,0.245,11.393,0.03,4,12.224,0.082,4,NA,NA,0,11.736,0.042,4,11.151,0.032,4,10.937,0.053,4,10.942,0.026,3,NA,NA,0
172.067148,0.542,9.293168,0.302,16.406,0.065,4,17.324,0.131,4,NA,NA,0,16.81,0.046,4,16.003,0.068,4,15.775,0.175,4,NA,NA,0,NA,NA,0
172.067433,0.341,9.254689,0.333,15.893,0.053,1,16.881,0.075,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
